BORE_ID,HEADER_ID,STATE_NAME,COUNTY_NAME,WELL_PROFILE_CODE,FIRST_ELEVATION,FIRST_ELEVATION_TYPE_CODE,FIRST_ELEVATION_SOURCE,SECOND_ELEVATION,SECOND_ELEVATION_TYPE_CODE,SECOND_ELEVATION_SOURCE,GROUND_ELEVATION,GROUND_ELEVATION_SOURCE,GROUND_ELEVATION_TYPE,KB HEIGHT,WELL_DATE,LATITUDE,LONGITUDE,KB_HEIGHT_ACTUAL,KB_HEIGHT_PREDICTED
7012838,6904478,TX,DE WITT,H,472.0,KB,ST_TXRRC,,,,448.0,ST_TXRRC,GR,24,2012-12-11,29.1294978041466,-97.5707370810099,24,24.14735818300823
5979953,5886720,UT,DUCHESNE,V,6365.0,KB,UNKNOWN,,,,6345.0,ST_UTOCD,GR,20,1993-05-24,40.2962502300718,-110.364679522332,20,16.927811520964628
6561235,6456393,TX,RUSK,V,595.0,KB,ST_TXRRC,,,,565.0,ST_TXRRC,GR,30,1973-01-28,31.8979302921445,-94.7636405149377,30,21.381243211423012
7174187,7065168,OH,MORGAN,V,977.0,KB,ST_OHDNR,,,,965.0,ST_OHDNR,GR,12,1984-11-07,39.6274889590209,-81.8542061984263,12,11.272653739447858
3619855,3562788,CO,BOULDER,V,5191.0,KB,ST_COOGC,5190.0,DF,ST_COOGC,5181.0,ST_COOGC,GR,10,1992-10-08,39.9682749813595,-105.081761091482,10,11.324457039896949
4017531,3957212,CA,KERN,V,1557.0,DF,ST_CADOGGR,,,,1549.0,ST_CADOGGR,GR,8,1968-11-09,35.2157623603877,-119.60134578356,8,9.546055903751355
4836240,4763872,OK,OKFUSKEE,H,930.0,KB,ST_OKOCC,928.0,DF,ST_OKOCC,915.0,ST_OKOCC,GR,15,2009-07-04,35.4490418264454,-96.3709510723014,15,18.703664874223804
7459661,7340593,TX,GONZALES,H,308.0,DF,ST_TXRRC,,,,282.0,ST_TXRRC,GR,26,2014-02-02,29.3519148384389,-97.6256116599529,26,25.037967493798554
5024004,4942036,TX,GAINES,V,3409.0,KB,UNKNOWN,,,,3398.53,FD_USGS,EG,10,1997-11-14,32.7911023534645,-102.704147285416,10,13.899470703677247
6219935,6119221,TX,MITCHELL,V,2153.0,KB,UNKNOWN,,,,2147.0,UNKNOWN,GR,6,2006-08-29,32.428442889784,-101.051720959273,6,9.905255285039427
